Table D-1: Population in conventional households 5 years and over, by sex, literacy and age group														
table_d1														
state_pcode	state_name	age_group	both_sexes_total	both_sexes_literate	both_sexes_illiterate	both_sexes_literate_percent	male_total	mail_litereate	male_illiterate	mal_literate_percent	female_total	female_literate	female_illiterate	femal_literate_percent
text	text	text	integer	integer	integer	real	integer	integer	integer	real	integer	integer	integer	real
MMR	UNION	5 - 9	4,724,561	3,646,786	1,077,775	77.2	2,373,338	1,818,484	554,854	76.6	2,351,223	1,828,302	522,921	77.8
MMR	UNION	10 - 14	4,857,955	4,631,165	226,790	95.3	2,395,227	2,282,462	112,765	95.3	2,462,728	2,348,703	114,025	95.4
MMR	UNION	15 - 19	4,260,063	4,021,878	238,185	94.4	2,040,884	1,931,889	108,995	94.7	2,219,179	2,089,989	129,190	94.2
MMR	UNION	20 - 24	3,922,795	3,666,652	256,143	93.5	1,809,125	1,704,596	104,529	94.2	2,113,670	1,962,056	151,614	92.8
MMR	UNION	25 - 29	3,835,001	3,537,048	297,953	92.2	1,774,288	1,660,782	113,506	93.6	2,060,713	1,876,266	184,447	91
MMR	UNION	30 - 34	3,688,862	3,368,511	320,351	91.3	1,732,410	1,612,298	120,112	93.1	1,956,452	1,756,213	200,239	89.8
MMR	UNION	35 - 39	3,408,280	3,086,310	321,970	90.6	1,592,151	1,476,024	116,127	92.7	1,816,129	1,610,286	205,843	88.7
MMR	UNION	40 - 44	3,158,439	2,840,156	318,283	89.9	1,457,800	1,349,719	108,081	92.6	1,700,639	1,490,437	210,202	87.6
MMR	UNION	45 - 49	2,846,351	2,529,747	316,604	88.9	1,302,390	1,203,599	98,791	92.4	1,543,961	1,326,148	217,813	85.9
MMR	UNION	50 - 54	2,480,704	2,163,484	317,220	87.2	1,125,573	1,026,989	98,584	91.2	1,355,131	1,136,495	218,636	83.9
MMR	UNION	55 - 59	1,992,677	1,731,380	261,297	86.9	893,314	821,482	71,832	92	1,099,363	909,898	189,465	82.8
MMR	UNION	60 - 64	1,533,332	1,282,026	251,306	83.6	680,750	614,242	66,508	90.2	852,582	667,784	184,798	78.3
MMR	UNION	65 - 69	1,032,828	846,422	186,406	82	443,687	400,894	42,793	90.4	589,141	445,528	143,613	75.6
MMR	UNION	70 - 74	691,675	527,469	164,206	76.3	286,187	249,733	36,454	87.3	405,488	277,736	127,752	68.5
MMR	UNION	75 - 79	535,331	400,055	135,276	74.7	215,224	189,534	25,690	88.1	320,107	210,521	109,586	65.8
MMR	UNION	80 - 84	324,767	226,086	98,681	69.6	123,245	103,805	19,440	84.2	201,522	122,281	79,241	60.7
MMR	UNION	85 - 89	152,997	106,320	46,677	69.5	53,557	45,079	8,478	84.2	99,440	61,241	38,199	61.6
MMR	UNION	90 +	70,529	45,275	25,254	64.2	23,257	18,247	5,010	78.5	47,272	27,028	20,244	57.2
MMR	UNION	Total 10 years and over	38,792,586	35,009,984	3,782,602	90.2	17,949,069	16,691,374	1,257,695	93	20,843,517	18,318,610	2,524,907	87.9
MMR	UNION	Total 15 years and over	33,934,631	30,378,819	3,555,812	89.5	15,553,842	14,408,912	1,144,930	92.6	18,380,789	15,969,907	2,410,882	86.9
MMR001	Kachin	5 - 9	152,252	123,502	28,750	81.1	77,130	62,143	14,987	80.6	75,122	61,359	13,763	81.7
MMR001	Kachin	10 - 14	157,415	154,636	2,779	98.2	78,652	77,222	1,430	98.2	78,763	77,414	1,349	98.3
MMR001	Kachin	15 - 19	136,179	133,558	2,621	98.1	67,131	65,809	1,322	98	69,048	67,749	1,299	98.1
MMR001	Kachin	20 - 24	115,501	112,571	2,930	97.5	56,385	54,938	1,447	97.4	59,116	57,633	1,483	97.5
MMR001	Kachin	25 - 29	108,694	105,150	3,544	96.7	53,762	52,107	1,655	96.9	54,932	53,043	1,889	96.6
MMR001	Kachin	30 - 34	104,551	99,962	4,589	95.6	52,176	50,151	2,025	96.1	52,375	49,811	2,564	95.1
MMR001	Kachin	35 - 39	93,396	87,832	5,564	94	46,389	44,007	2,382	94.9	47,007	43,825	3,182	93.2
MMR001	Kachin	40 - 44	87,536	80,742	6,794	92.2	42,530	39,857	2,673	93.7	45,006	40,885	4,121	90.8
MMR001	Kachin	45 - 49	69,832	62,737	7,095	89.8	32,750	30,194	2,556	92.2	37,082	32,543	4,539	87.8
MMR001	Kachin	50 - 54	61,644	53,050	8,594	86.1	27,228	24,377	2,851	89.5	34,416	28,673	5,743	83.3
MMR001	Kachin	55 - 59	46,034	38,857	7,177	84.4	19,918	17,783	2,135	89.3	26,116	21,074	5,042	80.7
MMR001	Kachin	60 - 64	33,786	26,547	7,239	78.6	14,294	12,381	1,913	86.6	19,492	14,166	5,326	72.7
MMR001	Kachin	65 - 69	22,861	17,226	5,635	75.4	9,469	8,098	1,371	85.5	13,392	9,128	4,264	68.2
MMR001	Kachin	70 - 74	16,217	10,783	5,434	66.5	6,159	4,939	1,220	80.2	10,058	5,844	4,214	58.1
MMR001	Kachin	75 - 79	10,777	7,115	3,662	66	4,113	3,316	797	80.6	6,664	3,799	2,865	57
MMR001	Kachin	80 - 84	6,900	3,822	3,078	55.4	2,347	1,719	628	73.2	4,553	2,103	2,450	46.2
MMR001	Kachin	85 - 89	3,178	1,718	1,460	54.1	1,041	749	292	72	2,137	969	1,168	45.3
MMR001	Kachin	90 +	2,160	932	1,228	43.1	703	431	272	61.3	1,457	501	956	34.4
MMR001	Kachin	Total 10 years and over	1,076,661	997,238	79,423	92.6	515,047	488,078	26,969	94.8	561,614	509,160	52,454	90.7
MMR001	Kachin	Total 15 years and over	919,246	842,602	76,644	91.7	436,395	410,856	25,539	94.1	482,851	431,746	51,105	89.4
MMR002	Kayah	5 - 9	32,504	25,516	6,988	78.5	16,321	12,700	3,621	77.8	16,183	12,816	3,367	79.2
MMR002	Kayah	10 - 14	31,408	30,464	944	97	15,669	15,195	474	97	15,739	15,269	470	97
MMR002	Kayah	15 - 19	26,362	25,217	1,145	95.7	12,981	12,453	528	95.9	13,381	12,764	617	95.4
MMR002	Kayah	20 - 24	23,563	21,941	1,622	93.1	11,342	10,707	635	94.4	12,221	11,234	987	91.9
MMR002	Kayah	25 - 29	21,835	19,497	2,338	89.3	10,470	9,566	904	91.4	11,365	9,931	1,434	87.4
MMR002	Kayah	30 - 34	20,457	17,619	2,838	86.1	9,873	8,862	1,011	89.8	10,584	8,757	1,827	82.7
MMR002	Kayah	35 - 39	17,587	14,562	3,025	82.8	8,423	7,350	1,073	87.3	9,164	7,212	1,952	78.7
MMR002	Kayah	40 - 44	16,000	12,796	3,204	80	7,630	6,527	1,103	85.5	8,370	6,269	2,101	74.9
