Table F-1: Women in conventional households aged 15 - 54 by children ever born to ever-married women and children dead, by age of mother						
table_f1						
state_code	state_name	age_group	women	women_ever_married	children_ever_born	children_dead
text	text	text	integer	integer	integer	integer
MMR	UNION	Total	14,765,874	9,806,349	25,701,445	2,859,215
MMR	UNION	15 - 19	2,219,179	294,392	104,817	5,999
MMR	UNION	20 - 24	2,113,670	989,494	862,139	52,254
MMR	UNION	25 - 29	2,060,713	1,428,049	2,147,125	151,017
MMR	UNION	30 - 34	1,956,452	1,561,768	3,388,000	279,451
MMR	UNION	35 - 39	1,816,129	1,526,938	4,303,199	413,787
MMR	UNION	40 - 44	1,700,639	1,464,817	4,931,992	557,758
MMR	UNION	45 - 49	1,543,961	1,346,674	5,048,486	660,018
MMR	UNION	50 - 54	1,355,131	1,194,217	4,915,687	738,931
MMR	- Urban	Total	4,580,910	2,796,368	6,073,871	428,467
MMR	- Urban	15 - 19	660,456	68,084	21,403	825
MMR	- Urban	20 - 24	674,869	250,451	184,348	7,270
MMR	- Urban	25 - 29	632,938	383,854	474,283	20,005
MMR	- Urban	30 - 34	604,466	448,080	793,525	38,359
MMR	- Urban	35 - 39	554,192	440,402	1,005,360	58,365
MMR	- Urban	40 - 44	535,653	437,504	1,174,357	80,663
MMR	- Urban	45 - 49	491,735	408,707	1,222,763	102,027
MMR	- Urban	50 - 54	426,601	359,286	1,197,832	120,953
MMR	- Rural	Total	10,184,964	7,009,981	19,627,574	2,430,748
MMR	- Rural	15 - 19	1,558,723	226,308	83,414	5,174
MMR	- Rural	20 - 24	1,438,801	739,043	677,791	44,984
MMR	- Rural	25 - 29	1,427,775	1,044,195	1,672,842	131,012
MMR	- Rural	30 - 34	1,351,986	1,113,688	2,594,475	241,092
MMR	- Rural	35 - 39	1,261,937	1,086,536	3,297,839	355,422
MMR	- Rural	40 - 44	1,164,986	1,027,313	3,757,635	477,095
MMR	- Rural	45 - 49	1,052,226	937,967	3,825,723	557,991
MMR	- Rural	50 - 54	928,530	834,931	3,717,855	617,978
MMR001	Kachin	Total	398,982	266,809	788,679	98,599
MMR001	Kachin	15 - 19	69,048	7,168	3,443	158
MMR001	Kachin	20 - 24	59,116	26,639	28,473	1,455
MMR001	Kachin	25 - 29	54,932	39,782	69,864	4,220
